,Date,ReportPeriod,Ticker,Fund,Change
70,2022-10-03,2022-09-30,WOR,PARK NATIONAL CORP /OH/,0.0
71,2022-10-03,2022-09-30,WMT,PARK NATIONAL CORP /OH/,73539.8982696533
72,2022-10-03,2022-09-30,TJX,PARK NATIONAL CORP /OH/,-210214.076385498
73,2022-10-03,2022-09-30,WM,PARK NATIONAL CORP /OH/,-1606425.73731995
74,2022-10-03,2022-09-30,WEC,PARK NATIONAL CORP /OH/,174388.500595093
75,2022-10-03,2022-09-30,VZ,PARK NATIONAL CORP /OH/,-168852.595428467
76,2022-10-03,2022-09-30,VXF,PARK NATIONAL CORP /OH/,0.0
77,2022-10-03,2022-09-30,VOO,PARK NATIONAL CORP /OH/,1513134.64373779
78,2022-10-03,2022-09-30,VNQ,PARK NATIONAL CORP /OH/,338718.242263794
79,2022-10-03,2022-09-30,VBTX,PARK NATIONAL CORP /OH/,0.0
80,2022-10-03,2022-09-30,V,PARK NATIONAL CORP /OH/,685196.02645874
81,2022-10-03,2022-09-30,WFC,PARK NATIONAL CORP /OH/,49229.2814941406
82,2022-10-03,2022-09-30,QCLN,PARK NATIONAL CORP /OH/,97361.7320861816
83,2022-10-03,2022-09-30,TILT,PARK NATIONAL CORP /OH/,-5392.9199523926
84,2022-10-03,2022-09-30,TGT,PARK NATIONAL CORP /OH/,-511648.717895508
85,2022-10-03,2022-09-30,SHW,PARK NATIONAL CORP /OH/,-20065.5
86,2022-10-03,2022-09-30,SCHW,PARK NATIONAL CORP /OH/,392841.435012817
87,2022-10-03,2022-09-30,SBUX,PARK NATIONAL CORP /OH/,12639.0003204346
88,2022-10-03,2022-09-30,RYCEY,PARK NATIONAL CORP /OH/,-275.4000008106
89,2022-10-03,2022-09-30,RTX,PARK NATIONAL CORP /OH/,48788.5603637695
90,2022-10-03,2022-09-30,RPM,PARK NATIONAL CORP /OH/,0.0
91,2022-10-03,2022-09-30,RMD,PARK NATIONAL CORP /OH/,-82080.8011474609
92,2022-10-03,2022-09-30,RIO,PARK NATIONAL CORP /OH/,-29016.6207237244
93,2022-10-03,2022-09-30,RHHBY,PARK NATIONAL CORP /OH/,379309.55002594
94,2022-10-03,2022-09-30,RDVY,PARK NATIONAL CORP /OH/,640003.697582245
95,2022-10-03,2022-09-30,QQQ,PARK NATIONAL CORP /OH/,17639.1606445312
96,2022-10-03,2022-09-30,QLC,PARK NATIONAL CORP /OH/,-8485.1003265381
97,2022-10-03,2022-09-30,SJM,PARK NATIONAL CORP /OH/,0.0
98,2022-10-03,2022-09-30,TDTT,PARK NATIONAL CORP /OH/,39862.8985691071
99,2022-10-03,2022-09-30,TDIV,PARK NATIONAL CORP /OH/,48987.7008552551
100,2022-10-03,2022-09-30,T,PARK NATIONAL CORP /OH/,-191964.761909485
101,2022-10-03,2022-09-30,SYY,PARK NATIONAL CORP /OH/,50133.3893508911
102,2022-10-03,2022-09-30,SYK,PARK NATIONAL CORP /OH/,1144350.96206665
103,2022-10-03,2022-09-30,STZ,PARK NATIONAL CORP /OH/,10565.2796630859
104,2022-10-03,2022-09-30,SPGI,PARK NATIONAL CORP /OH/,19542.400390625
105,2022-10-03,2022-09-30,SO,PARK NATIONAL CORP /OH/,4964.0
106,2022-10-03,2022-09-30,SNA,PARK NATIONAL CORP /OH/,8255.3502502441
107,2022-10-03,2022-09-30,SLB,PARK NATIONAL CORP /OH/,1062532.34516144
108,2022-10-03,2022-09-30,ISRG,PARK NATIONAL CORP /OH/,-65978.880859375
109,2022-10-03,2022-09-30,CVX,PARK NATIONAL CORP /OH/,58473.6892547607
110,2022-10-03,2022-09-30,INTC,PARK NATIONAL CORP /OH/,-361810.806427002
111,2022-10-03,2022-09-30,BSV,PARK NATIONAL CORP /OH/,-16513.1202697754
112,2022-10-03,2022-09-30,BRO,PARK NATIONAL CORP /OH/,-22256.639831543
113,2022-10-03,2022-09-30,BRKB,PARK NATIONAL CORP /OH/,
114,2022-10-03,2022-09-30,BRKA,PARK NATIONAL CORP /OH/,
115,2022-10-03,2022-09-30,BNDC,PARK NATIONAL CORP /OH/,225126.815368652
116,2022-10-03,2022-09-30,BMY,PARK NATIONAL CORP /OH/,5047.3897399902
117,2022-10-03,2022-09-30,BMO,PARK NATIONAL CORP /OH/,0.0
118,2022-10-03,2022-09-30,BLK,PARK NATIONAL CORP /OH/,-79240.32421875
119,2022-10-03,2022-09-30,BK,PARK NATIONAL CORP /OH/,-33627.9603996277
120,2022-10-03,2022-09-30,BEN,PARK NATIONAL CORP /OH/,0.0
121,2022-10-03,2022-09-30,CAIXY,PARK NATIONAL CORP /OH/,-12190.0
122,2022-10-03,2022-09-30,CB,PARK NATIONAL CORP /OH/,-36557.8809814453
123,2022-10-03,2022-09-30,CSLLY,PARK NATIONAL CORP /OH/,-91523.75
124,2022-10-03,2022-09-30,CSCO,PARK NATIONAL CORP /OH/,4206320.0
125,2022-10-03,2022-09-30,CRM,PARK NATIONAL CORP /OH/,-14815.5196228027
126,2022-10-03,2022-09-30,CP,PARK NATIONAL CORP /OH/,400.3200073242
127,2022-10-03,2022-09-30,COST,PARK NATIONAL CORP /OH/,724934.433135986
128,2022-10-03,2022-09-30,COP,PARK NATIONAL CORP /OH/,88114.7368469238
129,2022-10-03,2022-09-30,CMG,PARK NATIONAL CORP /OH/,-320087.882080078
130,2022-10-03,2022-09-30,CME,PARK NATIONAL CORP /OH/,-109466.343017578
131,2022-10-03,2022-09-30,CMCSA,PARK NATIONAL CORP /OH/,-3284520.04145622
132,2022-10-03,2022-09-30,CLX,PARK NATIONAL CORP /OH/,-105536.579498291
133,2022-10-03,2022-09-30,CL,PARK NATIONAL CORP /OH/,-210.75
134,2022-10-03,2022-09-30,CIVB,PARK NATIONAL CORP /OH/,41520.0004577637
135,2022-10-03,2022-09-30,CINF,PARK NATIONAL CORP /OH/,-1800356.99386597
136,2022-10-03,2022-09-30,CI,PARK NATIONAL CORP /OH/,-26359.6501159668
137,2022-10-03,2022-09-30,CAT,PARK NATIONAL CORP /OH/,14439.0401611328
138,2022-10-03,2022-09-30,BAX,PARK NATIONAL CORP /OH/,20197.5002288818
139,2022-10-03,2022-09-30,BAC,PARK NATIONAL CORP /OH/,-134480.603397369
140,2022-10-03,2022-09-30,ALL,PARK NATIONAL CORP /OH/,49811.9995117188
141,2022-10-03,2022-09-30,ALC,PARK NATIONAL CORP /OH/,-33744.400177002
142,2022-10-03,2022-09-30,AJG,PARK NATIONAL CORP /OH/,-5992.7000427246
143,2022-10-03,2022-09-30,AFL,PARK NATIONAL CORP /OH/,44566.600605011
144,2022-10-03,2022-09-30,AEP,PARK NATIONAL CORP /OH/,112990.146011353
145,2022-10-03,2022-09-30,ADP,PARK NATIONAL CORP /OH/,-114904.521240234
146,2022-10-03,2022-09-30,ADI,PARK NATIONAL CORP /OH/,1392703.26339722
147,2022-10-03,2022-09-30,ADBE,PARK NATIONAL CORP /OH/,-100448.004455566
148,2022-10-03,2022-09-30,ACN,PARK NATIONAL CORP /OH/,926022.656066895
149,2022-10-03,2022-09-30,ABT,PARK NATIONAL CORP /OH/,3629177.4001236
150,2022-10-03,2022-09-30,ABEV,PARK NATIONAL CORP /OH/,-3775.2198982239
151,2022-10-03,2022-09-30,ABC,PARK NATIONAL CORP /OH/,433597.325866699
152,2022-10-03,2022-09-30,ABBV,PARK NATIONAL CORP /OH/,4519253.55607605
153,2022-10-03,2022-09-30,AAPL,PARK NATIONAL CORP /OH/,-1984551.95617676
154,2022-10-03,2022-09-30,AAGIY,PARK NATIONAL CORP /OH/,297.7200164795
155,2022-10-03,2022-09-30,A,PARK NATIONAL CORP /OH/,-121.3400039673
156,2022-10-03,2022-09-30,YUMC,PARK NATIONAL CORP /OH/,4733.0001831055
