,Ticker,Weekly Views,pct_change_week,pct_change_month,Date
62,NWFL,6064.0,-62.625577812,-57.7804079928,2022-10-10T00:00:00.000Z
63,RACE,6000.0,-60.3646452636,-68.8602864854,2022-10-10T00:00:00.000Z
64,GE,5908.0,-61.1852046515,-59.1988950276,2022-10-10T00:00:00.000Z
65,ZM,5886.0,-56.1073825503,-60.8148591971,2022-10-10T00:00:00.000Z
66,RELI,5762.0,-67.0968478757,-68.5102196961,2022-10-10T00:00:00.000Z
67,PEGY,5689.0,-63.0967825636,-65.6544312968,2022-10-10T00:00:00.000Z
68,RIVN,5688.0,-58.5785027673,-59.313304721,2022-10-10T00:00:00.000Z
69,GME,5582.0,-71.3567323481,-67.1782207326,2022-10-10T00:00:00.000Z
70,ATVI,5575.0,-24.5908291627,-23.3782297966,2022-10-10T00:00:00.000Z
71,WFC,5500.0,-60.0609977489,-60.8290007834,2022-10-10T00:00:00.000Z
72,ADBE,5411.0,-57.5873961436,-50.3896580178,2022-10-10T00:00:00.000Z
73,UBS,5393.0,-37.1152052239,-31.7687246964,2022-10-10T00:00:00.000Z
74,ETSY,5298.0,-62.7871040247,-77.5537008007,2022-10-10T00:00:00.000Z
75,WLFC,4990.0,-60.6125187465,-60.9026091044,2022-10-10T00:00:00.000Z
76,IMTE,4926.0,-60.4750060178,-59.947963249,2022-10-10T00:00:00.000Z
77,SHOP,4888.0,-57.9671510878,-55.5878611666,2022-10-10T00:00:00.000Z
78,TGAA,4829.0,-63.6343098125,-61.7474651458,2022-10-10T00:00:00.000Z
79,AMPI,4781.0,-67.0389520855,-56.5284597199,2022-10-10T00:00:00.000Z
80,NXST,4770.0,-23.5331837127,17.3143138219,2022-10-10T00:00:00.000Z
81,DPZ,4755.0,-63.076564684,-62.2409274994,2022-10-10T00:00:00.000Z
82,GDDY,4751.0,-59.0219078834,-55.8457249071,2022-10-10T00:00:00.000Z
83,PG,4710.0,-59.7814021006,-56.7810607451,2022-10-10T00:00:00.000Z
84,MCAA,4688.0,-60.8746453013,-63.4919398801,2022-10-10T00:00:00.000Z
85,WE,4676.0,-63.9253201666,-64.242563279,2022-10-10T00:00:00.000Z
86,VFC,4642.0,-19.7579948142,-5.7461928934,2022-10-10T00:00:00.000Z
87,DB,4629.0,-43.514338011,-37.0032661949,2022-10-10T00:00:00.000Z
88,UA,4570.0,-64.3108160875,-63.7732857709,2022-10-10T00:00:00.000Z
89,UAA,4570.0,-64.3108160875,-63.7732857709,2022-10-10T00:00:00.000Z
90,PZZA,4550.0,-49.8401499283,-52.3210730378,2022-10-10T00:00:00.000Z
91,COUR,4467.0,-59.625813449,-61.1294813784,2022-10-10T00:00:00.000Z
92,MMYT,4450.0,-62.9598801398,-71.0041050368,2022-10-10T00:00:00.000Z
93,PARA,4432.0,-58.4824355972,-58.0143993937,2022-10-10T00:00:00.000Z
94,PARAA,4432.0,-58.4824355972,-58.0143993937,2022-10-10T00:00:00.000Z
95,GSQB,4421.0,-61.539799913,-62.7987209694,2022-10-10T00:00:00.000Z
96,GSQD,4421.0,-61.539799913,-62.7987209694,2022-10-10T00:00:00.000Z
97,CMG,4357.0,-60.4771407837,-68.692965438,2022-10-10T00:00:00.000Z
98,PLTR,4322.0,-56.5540812224,-51.9297074853,2022-10-10T00:00:00.000Z
99,MDLZ,4299.0,-61.4957456337,-52.7166739991,2022-10-10T00:00:00.000Z
100,WTI,4256.0,-58.3561643836,-60.6035360548,2022-10-10T00:00:00.000Z
101,LUV,4254.0,-56.6272430669,-57.48975717,2022-10-10T00:00:00.000Z
102,IIF,4224.0,-57.8695391981,-54.857326066,2022-10-10T00:00:00.000Z
103,MS,4224.0,-57.8695391981,-54.857326066,2022-10-10T00:00:00.000Z
104,CAF,4224.0,-57.8695391981,-54.857326066,2022-10-10T00:00:00.000Z
105,CARE,4193.0,-75.2902351347,-77.6682999574,2022-10-10T00:00:00.000Z
106,UPS,4141.0,-61.1064149526,-56.369191866,2022-10-10T00:00:00.000Z
107,HOG,4134.0,-51.25,-58.5231263168,2022-10-10T00:00:00.000Z
108,SNAP,4125.0,-45.7593688363,-45.3352769679,2022-10-10T00:00:00.000Z
109,BZFD,4088.0,-62.5743843267,3.8090401219,2022-10-10T00:00:00.000Z
110,DBX,4062.0,-56.8514977693,-58.3981974601,2022-10-10T00:00:00.000Z
111,CROX,3986.0,-36.0808210391,-35.3341985724,2022-10-10T00:00:00.000Z
112,WIX,3925.0,-57.4387334635,-59.2926778677,2022-10-10T00:00:00.000Z
113,TEAM,3890.0,-53.3852606351,-42.3703703704,2022-10-10T00:00:00.000Z
114,BRIV,3881.0,-56.7480218433,-56.9543034605,2022-10-10T00:00:00.000Z
115,SCKT,3852.0,-55.9418963742,-60.2107220328,2022-10-10T00:00:00.000Z
116,ULH,3816.0,-60.1877934272,-61.3765182186,2022-10-10T00:00:00.000Z
117,UPWK,3796.0,-59.1608391608,-50.8035251426,2022-10-10T00:00:00.000Z
118,CNEY,3790.0,-63.5961963308,-68.6621465189,2022-10-10T00:00:00.000Z
119,JNJ,3767.0,-60.6538541884,-55.1974310181,2022-10-10T00:00:00.000Z
120,NOC,3756.0,-57.9865771812,-61.9375760032,2022-10-10T00:00:00.000Z
121,DASH,3726.0,-59.6360090998,-59.1626479614,2022-10-10T00:00:00.000Z
122,NKLA,3698.0,-16.6741775575,74.1054613936,2022-10-10T00:00:00.000Z
123,CPSI,3446.0,-63.065380493,-65.4397753485,2022-10-10T00:00:00.000Z
124,V,3402.0,-61.4198230891,-57.7758470895,2022-10-10T00:00:00.000Z
125,APO,3371.0,-50.3315161338,-47.2951844903,2022-10-10T00:00:00.000Z
126,APGB,3371.0,-50.3315161338,-47.2951844903,2022-10-10T00:00:00.000Z
127,ARI,3371.0,-50.3315161338,-47.2951844903,2022-10-10T00:00:00.000Z
128,GPAC,3371.0,-50.3315161338,-47.2951844903,2022-10-10T00:00:00.000Z
129,EFC,3362.0,-61.54198124,-56.7755206994,2022-10-10T00:00:00.000Z
130,VMW,3343.0,-60.3769112244,-63.2233223322,2022-10-10T00:00:00.000Z
131,CVS,3289.0,-34.0749649228,-50.947054437,2022-10-10T00:00:00.000Z
132,RBLX,3248.0,-46.6052934407,-42.7866831073,2022-10-10T00:00:00.000Z
133,POSH,3235.0,210.4606525912,248.975188781,2022-10-10T00:00:00.000Z
134,JBLU,3220.0,-57.0609414589,-58.3764219235,2022-10-10T00:00:00.000Z
135,DUOL,3194.0,-60.4947433519,-60.8050067493,2022-10-10T00:00:00.000Z
136,FOX,3130.0,-62.4925104853,-57.076247943,2022-10-10T00:00:00.000Z
137,FOXA,3130.0,-62.4925104853,-57.076247943,2022-10-10T00:00:00.000Z
138,NGS,3117.0,-64.5473157416,-62.9590017825,2022-10-10T00:00:00.000Z
139,RMO,3098.0,-59.5877902426,-58.2873300121,2022-10-10T00:00:00.000Z
140,NET,3053.0,-61.6553629741,-75.7813739489,2022-10-10T00:00:00.000Z
141,VZ,3045.0,-63.5154565061,-62.6472031403,2022-10-10T00:00:00.000Z
142,MMM,2988.0,-62.7709942686,-64.8056537102,2022-10-10T00:00:00.000Z
143,AOSL,2928.0,-54.2642924086,-52.5906735751,2022-10-10T00:00:00.000Z
144,HOOD,2915.0,-55.5707971346,26.0268050151,2022-10-10T00:00:00.000Z
145,SSTK,2851.0,-56.645377129,-55.6609642302,2022-10-10T00:00:00.000Z
146,FAZE,2845.0,-59.3455272935,-57.587954681,2022-10-10T00:00:00.000Z
147,EDR,2800.0,-59.9198396794,-71.4547864206,2022-10-10T00:00:00.000Z
148,SQ,2770.0,-53.5000839349,-45.4294720252,2022-10-10T00:00:00.000Z
149,TMUS,2770.0,-59.9537371693,-63.2333421821,2022-10-10T00:00:00.000Z
150,LCID,2762.0,-59.9652123496,-54.1348389239,2022-10-10T00:00:00.000Z
151,CAT,2750.0,-60.7030580166,-58.6652637908,2022-10-10T00:00:00.000Z
152,LGF.B,2685.0,-64.2619459603,-51.9763906278,2022-10-10T00:00:00.000Z
153,LGF.A,2685.0,-64.2619459603,-51.9763906278,2022-10-10T00:00:00.000Z
154,GGPI,2685.0,-62.6616604088,-61.1320208454,2022-10-10T00:00:00.000Z
155,SAVE,2663.0,-59.2002451356,-61.6779392718,2022-10-10T00:00:00.000Z
156,AVO,2649.0,-67.6121775278,-77.8474661315,2022-10-10T00:00:00.000Z
157,LUMN,2640.0,-53.7896026606,-50.1416430595,2022-10-10T00:00:00.000Z
158,EXPE,2625.0,-59.5656192237,-59.0802805924,2022-10-10T00:00:00.000Z
159,BBLG,2619.0,-58.9434080577,-54.2772346369,2022-10-10T00:00:00.000Z
160,KDP,2567.0,-62.8401852924,-60.6529736358,2022-10-10T00:00:00.000Z
161,Z,2555.0,-63.9328063241,-62.7930682977,2022-10-10T00:00:00.000Z
162,ZG,2555.0,-63.9328063241,-62.7930682977,2022-10-10T00:00:00.000Z
163,GD,2547.0,-61.2269751865,-59.0843373494,2022-10-10T00:00:00.000Z
164,TXN,2522.0,-66.1930294906,-62.8297715549,2022-10-10T00:00:00.000Z
165,AXDX,2520.0,-50.7620164127,-48.4978540773,2022-10-10T00:00:00.000Z
166,LULU,2508.0,-63.4668608886,-62.0460048426,2022-10-10T00:00:00.000Z
167,GTLB,2501.0,-53.8646006272,-55.026074447,2022-10-10T00:00:00.000Z
168,WMG,2487.0,-63.9617446747,-60.6175771971,2022-10-10T00:00:00.000Z
169,KHC,2482.0,-55.3837857271,-54.889131225,2022-10-10T00:00:00.000Z
170,KKR,2474.0,-59.9481949166,-56.3051925115,2022-10-10T00:00:00.000Z
171,SNOW,2467.0,-52.9916158537,-48.0412805392,2022-10-10T00:00:00.000Z
172,PM,2459.0,-56.2766714083,-56.3929774783,2022-10-10T00:00:00.000Z
173,JACK,2440.0,-57.1854711353,-63.8250555967,2022-10-10T00:00:00.000Z
174,GETY,2414.0,-55.7794467851,-61.2208835341,2022-10-10T00:00:00.000Z
175,TTWO,2398.0,-67.4494366771,-63.0337598273,2022-10-10T00:00:00.000Z
176,VMEO,2396.0,-65.9077973819,-73.1329894595,2022-10-10T00:00:00.000Z
177,PAYO,2395.0,-55.2085281466,-52.2623081523,2022-10-10T00:00:00.000Z
178,NDLS,2384.0,-58.2194181563,-56.7017798765,2022-10-10T00:00:00.000Z
179,CZNC,2379.0,-58.6332811685,-56.228150874,2022-10-10T00:00:00.000Z
180,H,2368.0,-61.8556701031,-60.2684563758,2022-10-10T00:00:00.000Z
181,RAND,2361.0,-60.145172181,-54.5961538462,2022-10-10T00:00:00.000Z
182,NOW,2359.0,-58.895277923,-65.8264522671,2022-10-10T00:00:00.000Z
183,DNOW,2359.0,-58.895277923,-65.8264522671,2022-10-10T00:00:00.000Z
184,COIN,2295.0,-59.1782283885,-63.6522014571,2022-10-10T00:00:00.000Z
185,ABGI,2290.0,-52.8321318229,-54.7609640458,2022-10-10T00:00:00.000Z
186,DT,2276.0,-62.0856238547,-60.3207810321,2022-10-10T00:00:00.000Z
187,SHOO,2223.0,-59.8156182213,-65.2764761012,2022-10-10T00:00:00.000Z
188,HSY,2220.0,-62.7454270851,-56.2302839117,2022-10-10T00:00:00.000Z
189,LBRDK,2218.0,-46.3992266796,-45.1261751608,2022-10-10T00:00:00.000Z
190,LMACA,2218.0,-46.3992266796,-45.1261751608,2022-10-10T00:00:00.000Z
191,BATRK,2218.0,-46.3992266796,-45.1261751608,2022-10-10T00:00:00.000Z
192,LBRDA,2218.0,-46.3992266796,-45.1261751608,2022-10-10T00:00:00.000Z
193,BATRA,2218.0,-46.3992266796,-45.1261751608,2022-10-10T00:00:00.000Z
194,BMBL,2214.0,-63.6333771353,-63.7524557957,2022-10-10T00:00:00.000Z
195,DNUT,2209.0,-56.8975609756,-60.33399174,2022-10-10T00:00:00.000Z
196,ACI,2203.0,-53.9987471288,-54.2281321421,2022-10-10T00:00:00.000Z
197,SIX,2198.0,-62.0707506471,-67.7239353891,2022-10-10T00:00:00.000Z
198,RY,2198.0,-57.3286740439,-51.6923076923,2022-10-10T00:00:00.000Z
199,ALGT,2175.0,-57.7177293935,-60.0404188866,2022-10-10T00:00:00.000Z
200,GPS,2170.0,-59.5375722543,-73.7764350453,2022-10-10T00:00:00.000Z
201,CG,2156.0,-58.9567865981,-65.0963250769,2022-10-10T00:00:00.000Z
202,CGBD,2156.0,-58.9567865981,-65.0963250769,2022-10-10T00:00:00.000Z
203,LOGI,2153.0,-64.2121010638,-65.7111004937,2022-10-10T00:00:00.000Z
204,NU,2147.0,-60.7351865399,-62.4387683695,2022-10-10T00:00:00.000Z
205,DXC,2127.0,-63.4598866174,-67.2718879828,2022-10-10T00:00:00.000Z
206,ANF,2115.0,-63.1083202512,-66.9840774274,2022-10-10T00:00:00.000Z
207,GSMG,2091.0,-60.1941747573,-56.5912393606,2022-10-10T00:00:00.000Z
208,CTXS,2089.0,-55.0462664084,-46.4221595281,2022-10-10T00:00:00.000Z
209,TMO,2073.0,-60.3481254782,-56.4404286615,2022-10-10T00:00:00.000Z
210,SCHW,2064.0,-56.2619198983,-55.3053269814,2022-10-10T00:00:00.000Z
211,TSN,2052.0,-53.8461538462,-47.5191815857,2022-10-10T00:00:00.000Z
212,TFC,2046.0,-59.2511451902,-55.249343832,2022-10-10T00:00:00.000Z
213,NWS,2041.0,-57.2654941374,-54.7148879521,2022-10-10T00:00:00.000Z
214,SWCH,2020.0,-61.3914373089,-59.5838335334,2022-10-10T00:00:00.000Z
215,MRK,2015.0,-55.927384077,-55.4400707651,2022-10-10T00:00:00.000Z
216,ABT,2007.0,-60.6393410473,-60.0437985268,2022-10-10T00:00:00.000Z
