,Date,Ticker,Mentions,Rank,Sentiment
149,2019-01-25,MSFT,12,20,0.0009333333
150,2019-01-26,MSFT,5,5,0.3326
151,2019-01-27,MSFT,4,4,0.164375
152,2019-01-28,MSFT,20,13,0.100575
153,2019-01-29,MSFT,44,6,-0.0701136364
154,2019-01-30,MSFT,101,2,0.061950495
155,2019-01-31,MSFT,61,4,-0.0091
156,2019-02-01,MSFT,62,4,-0.0421
157,2019-02-02,MSFT,4,6,-0.0859
158,2019-02-03,MSFT,3,6,-0.2869666667
159,2019-02-04,MSFT,40,5,0.1792375
160,2019-02-05,MSFT,13,16,0.0521615385
161,2019-02-06,MSFT,4,41,-0.0884
162,2019-02-07,MSFT,13,14,0.0727538462
163,2019-02-08,MSFT,8,23,-0.022275
164,2019-02-09,MSFT,1,55,0.9153
165,2019-02-11,MSFT,8,16,-0.25365
166,2019-02-12,MSFT,10,16,0.12219
167,2019-02-13,MSFT,4,35,0.074325
168,2019-02-14,MSFT,7,25,0.3516
169,2019-02-15,MSFT,6,30,-0.0634666667
170,2019-02-18,MSFT,1,57,0.2023
171,2019-02-20,MSFT,5,28,0.16924
172,2019-02-21,MSFT,18,9,0.1000333333
173,2019-02-22,MSFT,18,9,0.1828
174,2019-02-24,MSFT,4,4,0.208075
175,2019-02-25,MSFT,5,33,0.15476
176,2019-02-26,MSFT,9,24,0.1663555556
177,2019-02-27,MSFT,5,33,-0.31978
178,2019-02-28,MSFT,5,30,-0.43412
179,2019-03-01,MSFT,3,53,-0.1807666667
180,2019-03-02,MSFT,1,51,0.2617
181,2019-03-03,MSFT,3,10,-0.3178
182,2019-03-04,MSFT,1,117,-0.4601
183,2019-03-05,MSFT,3,48,0.2013
184,2019-03-06,MSFT,2,62,0.0
185,2019-03-07,MSFT,2,74,0.0
186,2019-03-08,MSFT,1,133,0.0
187,2019-03-11,MSFT,3,40,-0.0225
188,2019-03-12,MSFT,5,28,0.11154
189,2019-03-13,MSFT,4,38,0.345175
190,2019-03-14,MSFT,9,21,0.2334888889
191,2019-03-15,MSFT,45,5,0.0009644444
192,2019-03-16,MSFT,6,15,0.0
193,2019-03-17,MSFT,4,11,0.0
194,2019-03-19,MSFT,18,11,0.1691944444
195,2019-03-20,MSFT,11,17,0.1019636364
196,2019-03-21,MSFT,21,12,0.0627952381
197,2019-03-22,MSFT,17,17,0.1194647059
198,2019-03-23,MSFT,4,20,0.1096
199,2019-03-25,MSFT,5,23,0.25304
200,2019-03-26,MSFT,18,11,0.1132555556
201,2019-03-27,MSFT,16,11,0.22433125
202,2019-03-28,MSFT,12,12,0.0318166667
203,2019-03-29,MSFT,14,15,0.19135
204,2019-03-30,MSFT,4,5,0.01645
205,2019-03-31,MSFT,3,7,0.1932333333
206,2019-04-01,MSFT,9,22,0.0647444444
207,2019-04-02,MSFT,10,14,0.12747
208,2019-04-03,MSFT,12,16,0.1608916667
209,2019-04-04,MSFT,17,14,0.1380058824
210,2019-04-05,MSFT,20,8,0.2553
211,2019-04-06,MSFT,1,44,0.5719
212,2019-04-08,MSFT,10,19,-0.08891
213,2019-04-09,MSFT,15,10,0.0284533333
214,2019-04-10,MSFT,4,45,0.082675
215,2019-04-11,MSFT,4,41,0.28795
216,2019-04-12,MSFT,15,20,0.1769
217,2019-04-13,MSFT,6,9,0.25965
218,2019-04-14,MSFT,1,37,0.5106
219,2019-04-15,MSFT,10,21,-0.01689
220,2019-04-16,MSFT,15,20,0.1535266667
221,2019-04-17,MSFT,16,16,-0.16323125
222,2019-04-18,MSFT,55,3,0.1546454545
223,2019-04-19,MSFT,17,4,0.2928882353
