,Date,Ticker,Representative,Transaction,Amount,Range
0,2022-09-13,MSFT, Scott Franklin,Purchase,15001.0,"$15,001-$50,000"
1,2022-09-12,MSFT, Kathy Manning,Sale,1001.0,"$1,001-$15,000"
2,2022-08-17,MSFT, Josh Gottheimer,Sale,100001.0,"$100,001-250,000"
3,2022-08-17,MSFT, Josh Gottheimer,Purchase,100001.0,"$100,001-250,000"
4,2022-08-10,MSFT, Robert J. Wittman,Purchase,1001.0,"$1,001-$15,000"
5,2022-08-05,MSFT, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
6,2022-07-27,MSFT, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
7,2022-07-27,MSFT, Kathy Manning,Purchase,15001.0,"$15,001-$50,000"
8,2022-07-27,MSFT, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
9,2022-07-27,MSFT, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
10,2022-07-15,MSFT, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
11,2022-07-15,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
12,2022-06-14,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
13,2022-06-09,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
14,2022-05-13,MSFT, Ed Perlmutter,Sale,1001.0,"$1,001-$15,000"
15,2022-04-15,MSFT, Pete Sessions,Purchase,1001.0,"$1,001-$15,000"
16,2022-04-12,MSFT, August Lee Pfluger Ii,Sale,15001.0,"$15,001-$50,000"
17,2022-03-10,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
18,2022-03-09,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
19,2022-02-28,MSFT, Donald Sternoff Beyer Jr.,Sale,15001.0,"$15,001-$50,000"
20,2022-02-24,MSFT, Virginia Foxx,Sale,15001.0,"$15,001-$50,000"
21,2022-02-23,MSFT, Pete Sessions,Purchase,1001.0,"$1,001-$15,000"
22,2022-01-27,MSFT, Deborah K. Ross,Sale,1001.0,"$1,001-$15,000"
23,2022-01-21,MSFT, Deborah K. Ross,Sale,1001.0,"$1,001-$15,000"
24,2022-01-05,MSFT, Virginia Foxx,Purchase,15001.0,"$15,001-$50,000"
25,2022-01-04,MSFT, Deborah K. Ross,Sale,1001.0,"$1,001-$15,000"
26,2021-12-31,MSFT, Kathy Manning,Sale,1001.0,"$1,001-$15,000"
27,2021-12-09,MSFT, Deborah K. Ross,Sale,1001.0,"$1,001-$15,000"
28,2021-12-09,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
29,2021-12-06,MSFT, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
30,2021-12-02,MSFT, Michael C. Burgess,Purchase,1001.0,"$1,001-$15,000"
31,2021-11-24,MSFT, Thomas Suozzi,Purchase,50001.0,"$50,001-$100,000"
32,2021-10-28,MSFT, Josh Gottheimer,Purchase,15001.0,"$15,001-$50,000"
33,2021-10-19,MSFT, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
34,2021-10-18,MSFT, Suzan K. Delbene,Sale,5000000.0,">$5,000,000"
35,2021-09-16,MSFT, Katherine M. Clark,Sale,1001.0,"$1,001-$15,000"
36,2021-09-09,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
37,2021-09-08,MSFT, Pete Sessions,Purchase,1001.0,"$1,001-$15,000"
38,2021-09-03,MSFT, Suzan K. Delbene,Sale,5000000.0,">$5,000,000"
39,2021-08-31,MSFT, Suzan K. Delbene,Purchase,5000000.0,">$5,000,000"
40,2021-08-30,MSFT, Suzan K. Delbene,Purchase,250001.0,"$250,001-$1,000,000"
41,2021-08-19,MSFT, Pete Sessions,Purchase,1001.0,"$1,001-$15,000"
42,2021-08-06,MSFT, Marie Newman,Purchase,1001.0,"$1,001-$15,000"
43,2021-07-27,MSFT, Katherine M. Clark,Purchase,1001.0,"$1,001-$15,000"
44,2021-07-27,MSFT, Katherine M. Clark,Purchase,1001.0,"$1,001-$15,000"
45,2021-07-21,MSFT, Kevin Hern,Purchase,100001.0,"$100,001-250,000"
46,2021-07-02,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
47,2021-06-25,MSFT, Kevin Hern,Purchase,100001.0,"$100,001-250,000"
48,2021-06-25,MSFT, Kevin Hern,Purchase,250001.0,"$250,001-$1,000,000"
49,2021-06-22,MSFT, John Curtis,Sale,1001.0,"$1,001-$15,000"
50,2021-06-22,MSFT, Josh Gottheimer,Purchase,50001.0,"$50,001-$100,000"
51,2021-06-21,MSFT, Patrick Fallon,Sale,100001.0,"$100,001-250,000"
52,2021-06-21,MSFT, Patrick Fallon,Sale,100001.0,"$100,001-250,000"
53,2021-06-18,MSFT, Donald Sternoff  Beyer Jr,Sale,1001.0,"$1,001-$15,000"
54,2021-06-10,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
55,2021-06-04,MSFT, Thomas Suozzi,Sale,15001.0,"$15,001-$50,000"
56,2021-05-26,MSFT, Patrick Fallon,Purchase,250001.0,"$250,001-$1,000,000"
57,2021-05-26,MSFT, Patrick Fallon,Sale,1001.0,"$1,001-$15,000"
58,2021-05-18,MSFT, Josh Gottheimer,Purchase,100001.0,"$100,001-250,000"
59,2021-05-18,MSFT, Josh Gottheimer,Purchase,15001.0,"$15,001-$50,000"
60,2021-05-18,MSFT, Josh Gottheimer,Sale,100001.0,"$100,001-250,000"
61,2021-05-12,MSFT, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
62,2021-05-03,MSFT, Ed Case,Purchase,50001.0,"$50,001-$100,000"
63,2021-05-03,MSFT, Pete Sessions,Purchase,1001.0,"$1,001-$15,000"
64,2021-04-30,MSFT, Marie Newman,Purchase,15001.0,"$15,001-$50,000"
65,2021-04-30,MSFT, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
66,2021-04-30,MSFT, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
67,2021-04-19,MSFT, Patrick Fallon,Sale,250001.0,"$250,001-$1,000,000"
68,2021-04-19,MSFT, Patrick Fallon,Sale,250001.0,"$250,001-$1,000,000"
69,2021-04-14,MSFT, William R. Keating,Purchase,1001.0,"$1,001-$15,000"
70,2021-03-31,MSFT, Suzan K. Delbene,Purchase,1001.0,"$1,001-$15,000"
71,2021-03-26,MSFT, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
72,2021-03-23,MSFT, Patrick Fallon,Sale,1001.0,"$1,001-$15,000"
73,2021-03-23,MSFT, Patrick Fallon,Sale,1001.0,"$1,001-$15,000"
74,2021-03-17,MSFT, William R. Keating,Purchase,1001.0,"$1,001-$15,000"
75,2021-03-11,MSFT, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
76,2021-03-04,MSFT, Suzan K. Delbene,Sale,500001.0,"$500,001"
